Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,,,,2023-02-25 15:30:01,2023-02-25 15:30:03,1.466s,FAILED
,,,,,,,
Test Cases/PassingTC1,,,,2023-02-25 15:30:02,2023-02-25 15:30:02,0.271s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:02,2023-02-25 15:30:02,0.119s,PASSED
,,,,,,,
Test Cases/PassingTC2,,,,2023-02-25 15:30:02,2023-02-25 15:30:02,0.152s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:02,2023-02-25 15:30:02,0.012s,PASSED
,,,,,,,
Test Cases/FailingTC1,,,,2023-02-25 15:30:02,2023-02-25 15:30:02,0.105s,FAILED
"markFailed(""I am bad"")",,,,2023-02-25 15:30:02,2023-02-25 15:30:02,0.023s,FAILED
,,,,,,,
Test Cases/PassingTC3,,,,2023-02-25 15:30:02,2023-02-25 15:30:03,0.059s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.004s,PASSED
,,,,,,,
Test Cases/PassingTC4,,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.068s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.008s,PASSED
,,,,,,,
Test Cases/PassingTC5,,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.040s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.004s,PASSED
,,,,,,,
Test Cases/PassingTC6,,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.048s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.003s,PASSED
,,,,,,,
Test Cases/PassingTC7,,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.085s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.014s,PASSED
,,,,,,,
Test Cases/PassingTC8,,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.038s,PASSED
"comment(""I am OK"")",,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.003s,PASSED
,,,,,,,
Test Cases/FailingTC2,,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.085s,FAILED
"markFailed(""I am bad"")",,,,2023-02-25 15:30:03,2023-02-25 15:30:03,0.006s,FAILED
